pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
4705552913.jpg#2r1n,neutral,Two women are embracing while holding to go packages.,The sisters are hugging goodbye while holding to go packages after just eating lunch.,The to go packages may not be from lunch.,Two women are embracing while holding to go packages., The sisters are hugging goodbye while holding to go packages after just eating *lunch.*,{},13,"Just because two women are embracing, does not mean they are sisters.  Two women that are embracing are not necessarily hugging goodbye.",Two women are embracing while holding to go packages., The *sisters* are *hugging* *goodbye* while holding to go packages after just eating lunch.,{},"1,3,4",Two women do not have to be sisters.  Embracing does not mean hugging goodbye.  The women do not have to have just finished lunch to be embracing.,Two women are embracing while holding to go packages., *The* *sisters* are *hugging* *goodbye* while holding to go packages *after* *just* *eating* *lunch.*,{},"1,0,3,4,10,11,13,12"
4705552913.jpg#2r1e,entailment,Two women are embracing while holding to go packages.,Two woman are holding packages.,Saying the two women are holding packages is a way to paraphrase that the packages they are holding are to go packages., Two women are embracing while holding *to* *go* *packages.*, Two woman are *holding* *packages.*,"6,7,8","3,4",Sentence 1 states that two women are holding to-go packages. To-go packages are a form of package., *Two* *women* are embracing while *holding* to go *packages.*, Two woman are holding packages.,"0,1,5,8",{},Women can embrace while they are holding packages., Two *women* are *embracing* while holding to go packages., Two woman are *holding* *packages.*,"1,3","3,4"
4705552913.jpg#2r1c,contradiction,Two women are embracing while holding to go packages.,The men are fighting outside a deli.,In the first sentence there is an action of affection between women while on the second sentence there is a fight between men.,Two *women* are *embracing* while holding to go packages.,The *men* are *fighting* outside a deli.,"1,3","1,3",Women are different than men and embracing is different than fighting.,*Two* *women* are *embracing* while holding to go packages.,The *men* are *fighting* outside a deli.,"0,1,3","1,3",First sentence features two women and the second has men.,*Two* *women* are embracing while holding to go packages.,The *men* are fighting outside a deli.,"0,1",1
2407214681.jpg#0r1e,entailment,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in numbered jerseys wash their hands.,Young children are kids. Jerseys with number 9 and 2 are numbered jerseys.," Two *young* *children* in blue *jerseys,* one with the *number* *9* and one with the *number* *2* are standing on wooden steps in a bathroom and washing their hands in a sink.", Two *kids* in *numbered* *jerseys* wash their hands.,"2,1,10,9,15,16,5","1,3,4",TWO YOUNG CHILDREN IN JERSEY WASHING THEIR HANDS IN SINK," *Two* *young* *children* in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and *washing* their hands in a *sink.*", Two kids in numbered *jerseys* wash their *hands.*,"2,26,1,0,31","4,7",Kids is a synonym for children.," Two young *children* in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.", Two *kids* in numbered jerseys wash their hands.,2,1
2407214681.jpg#0r1n,neutral,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids at a ballgame wash their hands.,Two kids in jerseys watching their hands are not necessarily at  a ballgame.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.", Two kids *at* *a* *ballgame* wash their hands.,{},"2,3,4",Even it two children are wearing jerseys they are not necessarily at a ballgame.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.", Two kids at a *ballgame* wash their hands.,{},4,Just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.", Two *kids* *at* *a* *ballgame* *wash* *their* *hands.*,{},"4,2,1,3,5,6,7"
2407214681.jpg#0r1c,contradiction,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in jackets walk to school.,"If you're wearing a jacket, you won't be able to see the blue jerseys. When you're standing in a bathroom, you cannot be walking to school at the same time."," Two young children in *blue* *jerseys,* one with the number 9 and one with the number 2 are *standing* on wooden steps *in* *a* *bathroom* and washing their hands in a sink.",Two kids in *jackets* *walk* *to* *school.*,"4,5,18,22,24,23","3,4,5,6",If children are standing on steps they can't be walking to school..," Two young children in blue jerseys, one with the number 9 and one with the number 2 are *standing* on wooden *steps* in a bathroom and washing their hands in a sink.",Two kids in jackets *walk* *to* *school.*,"18,21","4,5,6",Children cannot walk to school and be standing at the same time.," Two young *children* in blue jerseys, one with the number 9 and one with the number 2 are *standing* on wooden *steps* in a bathroom and washing their hands in a sink.",Two *kids* in jackets *walk* *to* *school.*,"2,18,21","1,4,5,6"
4718146904.jpg#2r1c,contradiction,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A woman drinks her coffee in a small cafe.,"There can be either a man or a woman, who can be either selling donuts or drinking coffee.",A *man* *selling* *donuts* to a customer during a world exhibition event held in the city of Angeles,A *woman* *drinks* *her* *coffee* in a small cafe.,"1,2,3","1,2,3,4",A woman can't be at a world exhibition event and a small cafe at the same time.,A man selling donuts to a customer during *a* *world* *exhibition* *event* held in the city of Angeles,A woman drinks her coffee in a *small* *cafe.*,"8,9,10,11","7,8",A woman is different from a man.,A *man* selling donuts to a customer during a world exhibition event held in the city of Angeles,A *woman* drinks her coffee in a small cafe.,1,1
4718146904.jpg#2r1n,neutral,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,Just because a customer buys donuts at a world exhibition event doesn't mean people are waiting in line behind him.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles, A man selling donuts to a customer during a world exhibition event while *people* *wait* *in* *line* *behind* *him.*,{},"13,14,15,16,17,18",The fact that one man is buying donuts at an event does not imply there is a line behind him.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles, A man selling donuts to a customer during a world exhibition event while people wait in *line* *behind* *him.*,{},"16,17,18",Just because a man is selling donuts at an event it does not mean people wait in line behind him.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles, A *man* *selling* *donuts* to a customer during a world exhibition event while *people* *wait* *in* *line* *behind* *him.*,{},"13,14,15,17,18,16,3,2,1"
4718146904.jpg#2r1e,entailment,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,A man selling donuts is selling donuts., A man *selling* *donuts* to a customer during a world exhibition event held in the city of Angeles, A man *selling* *donuts* to a customer.,"3,2","2,3",A man selling donuts is just a rephrasing of A man selling donuts at an event., A *man* *selling* *donuts* to a customer *during* a world exhibition *event* held in the city of Angeles, A *man* *selling* *donuts* to a customer.,"1,2,3,7,11","1,2,3","""A man selling donuts to a customer"" is the same as ""a man selling donuts to a customer.""", *A* *man* *selling* *donuts* to a *customer* during a world exhibition event held in the city of Angeles, *A* *man* *selling* *donuts* to a *customer.*,"0,1,2,3,6","0,1,2,3,6"
3980085662.jpg#0r1e,entailment,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys play football,If the boys of opposing teams play football then the boys play football.," Two young *boys* of *opposing* *teams* *play* *football,* while wearing full protection uniforms and helmets.", *boys* *play* *football*,"4,2,5,6,7","0,1,2",TWO BOYS OF OPPOSING TEAMS PLAY FOOTBALL," *Two* young *boys* of *opposing* *teams* play football, while wearing full protection uniforms and helmets.", boys play *football*,"0,2,4,5",2,"""Two young boys of opposing teams play football"" is a more descriptive way of saying ""boys play football""."," *Two* *young* *boys* *of* *opposing* *teams* *play* *football,* while wearing full protection uniforms and helmets.", *boys* *play* *football*,"0,1,2,3,4,5,6,7","1,2,0"
